"Month","Year","Week_day","Type_day","Casualties","Num_vehicles","Lanes","Road_width","Lane_width","Hard_shoulder","Paved_hard_shoulder","Security_barriers","Aditional_panels","Edge_landmarks","Reflectors","Surface","Luminosity","Atmosferic_factors","Limited_visibility","Danger_signs","Crash_type","Traffic","Conc_distraction","Conc_alcohol_durgs","Conc_speed","Conc_tyred_sleepy_ill","Conc_weather"
"Jan",2006,7,"Holiday",2,2,2,"6m_to_7m","Less_325m","Less_150m","Y","N","N","Y","Y","Wet","Daylight","Heavy_rain","N","Yes","Collision","Light","N","N","N","N","Y"
"Jan",2006,7,"Holiday",3,2,2,"6m_to_7m","325m_to_375m","None","Y","N","N","N","N","Wet","No_light","Heavy_rain","N","Not_needed","Collision","Light","Y","N","N","N","Y"
"Jan",2006,1,"Post_holiday",1,1,3,"More_7m","325m_to_375m","Less_150m","Y","Y","Y","Y","Y","Wet","No_light","Heavy_rain","N","Not_needed","Off_the_road","Light","N","N","N","N","N"
"Jan",2006,2,"Work_day",2,2,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","Y","Y","Wet","Daylight","Light_rain","Y","Yes","Collision","Light","N","N","N","Y","Y"
"Jan",2006,2,"Work_day",1,1,2,"More_7m","More_375m","Less_150m","Y","Y","N","Y","N","Wet","Daylight","Light_rain","N","No","Other","Light","N","N","Y","N","N"
"Jan",2006,3,"Work_day",1,1,2,"More_7m","325m_to_375m","Less_150m","Y","N","N","Y","Y","Wet","Daylight","Light_rain","N","Yes","Other","Light","N","N","N","N","N"
"Jan",2006,4,"Pre_holiday",1,1,2,"6m_to_7m","Less_325m","Less_150m","Y","N","Y","Y","Y","Wet","Artificial_not_enough","Light_rain","N","No","Off_the_road","Light","N","N","N","N","N"
"Jan",2006,4,"Pre_holiday",5,3,2,"6m_to_7m","325m_to_375m","Less_150m","Y","Y","N","N","N","Wet","Daylight","Light_rain","Y","Not_needed","Collision","Light","Y","N","N","N","Y"
"Jan",2006,5,"Holiday",3,2,2,"6m_to_7m","325m_to_375m","None","Y","Y","N","Y","Y","Wet","No_light","Light_rain","Y","Yes","Collision","Light","Y","N","N","N","N"
"Jan",2006,6,"Pre_holiday",2,1,2,"6m_to_7m","325m_to_375m","None","N","N","N","Y","N","Dry","No_light","Clear","Y","Yes","Collision","Light","N","N","N","N","N"
"Jan",2006,1,"Post_holiday",3,1,2,"6m_to_7m","325m_to_375m","None","N","N","N","N","Y","Wet","Daylight","Light_rain","N","Yes","Ped_run_over","Light","N","N","Y","N","N"
"Jan",2006,2,"Work_day",2,2,2,"6m_to_7m","Less_325m","Less_150m","N","N","N","N","N","Dry","Daylight","Clear","Y","Not_needed","Collision","Light","N","N","N","N","N"
"Jan",2006,3,"Work_day",2,2,2,"More_7m","325m_to_375m","None","N","N","N","N","N","Dry","Daylight","Clear","Y","Not_needed","Collision","Light","N","N","N","N","N"
"Jan",2006,4,"Work_day",2,2,2,"More_7m","325m_to_375m","Less_150m","Y","N","N","N","N","Wet","No_light","Clear","Y","Yes","Collision","Light","Y","N","N","N","N"
"Jan",2006,7,"Holiday",2,2,2,"6m_to_7m","325m_to_375m","Less_150m","Y","Y","N","Y","Y","Dry","Daylight","Clear","N","Yes","Collision","Light","Y","N","N","N","N"
"Jan",2006,7,"Holiday",2,1,2,"6m_to_7m","325m_to_375m","None","N","N","N","Y","Y","Dry","Dusk","Clear","Y","Yes","Off_the_road","Light","Y","N","Y","N","N"
"Jan",2006,1,"Post_holiday",3,2,2,"More_7m","325m_to_375m","Less_150m","Y","N","N","Y","Y","Dry","No_light","Clear","Y","No","Collision","Light","N","Y","N","N","N"
"Jan",2006,2,"Work_day",6,2,2,"6m_to_7m","325m_to_375m","None","N","N","N","N","N","Dry","Daylight","Clear","Y","Yes","Collision","Light","Y","N","N","N","N"
"Jan",2006,4,"Work_day",3,3,3,"More_7m","325m_to_375m","None","Y","N","N","N","N","Dry","Artificial_enough","Clear","Y","Not_needed","Collision","Light","N","N","N","N","N"
"Jan",2006,7,"Holiday",3,2,2,"More_7m","More_375m","None","N","N","N","N","N","Other","Daylight","Clear","Y","No","Collision","Light","N","N","N","N","N"
"Jan",2006,3,"Work_day",1,1,1,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","Y","Y","Dry","Daylight","Clear","Y","Yes","Collision","Light","N","N","N","N","N"
"Jan",2006,5,"Work_day",3,3,2,"6m_to_7m","325m_to_375m","None","N","N","Y","N","N","Snow","Dusk","Snowing","N","Not_needed","Collision","Jam","Y","N","N","N","N"
